Date,Metric,Value
2024-11-01,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-02,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-03,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-04,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-05,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-06,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-07,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-08,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-09,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-10,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-11,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-12,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-13,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-14,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-15,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-16,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-17,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-18,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-19,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
2024-11-20,Error,"{""status"":404,""code"":""RESOURCE_NOT_FOUND"",""message"":""No virtual resource found""}"
